NUTS_3	NAME1	LAU1	AREA	POP
ME000	Andrijevica	1	283	5071
ME000	Bar	2	598	42048
ME000	Berane	3	544	28305
ME000	Bijelo Polje	4	924	46051
ME000	Budva	5	122	19218
ME000	Cetinje	6	899	16657
ME000	Danilovgrad	7	501	18472
ME000	Gusinje	22	486	13108
ME000	Herceg-Novi	8	235	30864
ME000	Kolašin	9	897	8380
ME000	Kotor	10	335	22601
ME000	Mojkovac	11	367	8622
ME000	Nikšić	12	2065	72443
ME000	Petnjica	23	173	6686
ME000	Plav	13	486	13108
ME000	Plužine	15	854	3246
ME000	Pljevlja	14	1346	30786
ME000	Podgorica	16	1399	185937
ME000	Rožaje	17	432	22964
ME000	Šavnik	18	553	2070
ME000	Tivat	19	46	14031
ME000	Ulcinj	20	255	19921
ME000	Žabljak	21	445	3569
