NUTS_3,NAME_1,LAU1_NAT_CODE,AREA,POP
ME000,Andrijevica,ME-01,283,5071
ME000,Bar,ME-02,598,42048
ME000,Berane,ME-03,544,28305
ME000,Bijelo Polje,ME-04,924,46051
ME000,Budva,ME-05,122,19218
ME000,Cetinje,ME-06,899,16657
ME000,Danilovgrad,ME-07,501,18472
ME000,Gusinje,ME-22,486,13108
ME000,Herceg-Novi,ME-08,235,30864
ME000,Kolašin,ME-09,897,8380
ME000,Kotor,ME-10,335,22601
ME000,Mojkovac,ME-11,367,8622
ME000,Nikšić,ME-12,2065,72443
ME000,Petnjica,ME-23,173,6686
ME000,Plav,ME-13,486,13108
ME000,Plužine,ME-15,854,3246
ME000,Pljevlja,ME-14,1346,30786
ME000,Podgorica,ME-16,1399,185937
ME000,Rožaje,ME-17,432,22964
ME000,Šavnik,ME-18,553,2070
ME000,Tivat,ME-19,46,14031
ME000,Ulcinj,ME-20,255,19921
ME000,Žabljak,ME-21,445,3569
