name,code
Adana Province,TR621
Adıyaman Province,TRC12
Afyonkarahisar Province,TR332
Ağrı Province,TRA21
Aksaray Province,TR712
Amasya Province,TR834
Ankara Province,TR510
Antalya Province,TR611
Ardahan Province,TRA24
Artvin Province,TR905
Aydın Province,TR321
Balıkesir Province,TR221
Bartın Province,TR813
Batman Province,TRC32
Bayburt Province,TRA13
Bilecik Province,TR413
Bingöl Province,TRB13
Bitlis Province,TRB23
Bolu Province,TR424
Burdur Province,TR613
Bursa Province,TR411
Çanakkale Province,TR222
Çankırı Province,TR822
Çorum Province,TR833
Denizli Province,TR322
Diyarbakır Province,TRC22
Düzce Province,TR423
Edirne Province,TR212
Elazığ Province,TRB12
Erzincan Province,TRA12
Erzurum Province,TRA11
Eskişehir Province,TR412
Gaziantep Province,TRC11
Giresun Province,TR903
Gümüşhane Province,TR906
Hakkari Province,TRB24
Hatay Province,TR631
İçel Province,TR622
Iğdır Province,TRA23
Isparta Province,TR612
İstanbul Province,TR100
İzmir Province,TR310
Kahramanmaraş Province,TR632
Karabük Province,TR812
Karaman Province,TR522
Kars Province,TRA22
Kastamonu Province,TR821
Kayseri Province,TR721
Kilis Province,TRC13
Kırıkkale Province,TR711
Kırklareli Province,TR213
Kırşehir Province,TR715
Kocaeli Province,TR421
Konya Province,TR521
Kütahya Province,TR333
Malatya Province,TRB11
Manisa Province,TR331
Mardin Province,TRC31
Muğla Province,TR323
Muş Province,TRB22
Nevşehir Province,TR714
Niğde Province,TR713
Ordu Province,TR902
Osmaniye Province,TR633
Rize Province,TR904
Sakarya Province,TR422
Samsun Province,TR831
Şanlıurfa Province,TRC21
Siirt Province,TRC34
Sinop Province,TR823
Sivas Province,TR722
Şırnak Province,TRC33
Tekirdağ Province,TR211
Tokat Province,TR832
Trabzon Province,TR901
Tunceli Province,TRB14
Uşak Province,TR334
Van Province,TRB21
Yalova Province,TR425
Yozgat Province,TR723
Zonguldak Province,TR811
